iter	Passed	Remaining
0	47	47134
1	47	23763
2	48	15969
3	48	12095
4	49	9754
5	49	8193
6	50	7093
7	50	6255
8	50	5602
9	51	5084
10	51	4662
11	52	4310
12	52	4009
13	53	3755
14	53	3530
15	54	3341
16	54	3170
17	55	3020
18	55	2880
19	56	2758
20	56	2643
21	57	2543
22	57	2448
23	58	2366
24	58	2286
25	59	2217
26	59	2147
27	60	2084
28	60	2027
29	60	1970
30	61	1920
31	61	1872
32	62	1829
33	62	1786
34	63	1745
35	63	1707
36	64	1671
37	64	1638
38	65	1606
39	65	1576
40	66	1548
41	66	1518
42	67	1491
43	67	1467
44	68	1443
45	68	1418
46	68	1396
47	69	1375
48	69	1355
49	70	1336
50	70	1318
51	71	1300
52	71	1284
53	72	1266
54	72	1251
55	73	1234
56	73	1220
57	74	1206
58	74	1191
59	75	1177
60	75	1164
61	76	1151
62	76	1138
63	77	1126
64	77	1115
65	77	1103
66	78	1092
67	78	1081
68	79	1071
69	79	1059
70	80	1049
71	80	1039
72	81	1030
73	81	1021
74	82	1011
75	82	1002
76	82	993
77	83	985
78	83	977
79	84	970
80	84	963
81	85	955
82	85	946
83	86	939
84	86	932
85	87	925
86	87	918
87	87	911
88	88	905
89	88	899
90	89	893
91	89	887
92	90	881
93	90	875
94	91	869
95	91	863
96	92	857
97	92	852
98	93	847
99	93	842
100	93	836
101	94	830
102	94	825
103	95	820
104	95	815
105	96	809
106	96	805
107	96	800
108	97	795
109	97	791
110	98	788
111	99	786
112	99	783
113	100	780
114	101	777
115	101	774
116	102	770
117	102	768
118	103	766
119	104	763
120	104	760
121	105	756
122	105	753
123	106	750
124	106	747
125	107	743
126	107	739
127	107	735
128	108	732
129	108	729
130	109	725
131	109	722
132	110	719
133	110	716
134	111	713
135	111	709
136	112	706
137	112	704
138	113	701
139	113	698
140	114	695
141	114	691
142	115	689
143	115	686
144	116	684
145	116	682
146	117	680
147	117	678
148	118	676
149	119	674
150	119	673
151	120	671
152	120	669
153	121	667
154	122	665
155	122	663
156	123	661
157	123	660
158	124	657
159	125	656
160	125	653
161	125	651
162	126	649
163	127	647
164	127	646
165	128	644
166	128	642
167	129	640
168	129	638
169	130	636
170	130	634
171	131	632
172	131	629
173	132	627
174	132	625
175	133	623
176	133	621
177	133	618
178	134	616
179	134	614
180	135	612
181	135	610
182	136	608
183	136	606
184	137	604
185	137	602
186	138	600
