iter	Passed	Remaining
0	47	47264
1	48	24261
2	50	16822
3	52	13065
4	53	10701
5	55	9175
6	57	8116
7	58	7272
8	59	6592
9	61	6046
10	62	5616
11	63	5253
12	65	4951
13	66	4712
14	68	4483
15	69	4276
16	71	4107
17	72	3953
18	73	3813
19	75	3694
20	76	3571
21	77	3458
22	79	3371
23	80	3279
24	81	3191
25	82	3108
26	84	3059
27	86	3009
28	88	2963
29	89	2902
30	91	2864
31	92	2812
32	95	2787
33	96	2747
34	98	2704
35	99	2668
36	101	2631
37	102	2590
38	104	2575
39	104	2518
40	105	2462
41	106	2417
42	107	2386
43	108	2358
44	109	2333
45	111	2306
46	112	2285
47	113	2258
48	115	2238
49	116	2213
50	117	2194
51	118	2166
52	119	2137
53	120	2109
54	121	2082
55	121	2056
56	122	2029
57	123	2013
58	124	1989
59	125	1971
60	126	1948
61	127	1925
62	127	1902
63	129	1886
64	130	1870
65	130	1851
66	131	1831
67	132	1814
68	133	1797
69	133	1779
70	134	1760
71	135	1741
72	135	1723
73	136	1705
74	136	1687
75	137	1670
76	137	1653
77	138	1637
78	139	1621
79	139	1604
80	140	1588
81	140	1572
82	140	1555
83	141	1540
84	141	1526
85	142	1511
86	142	1497
87	143	1483
88	143	1470
89	144	1457
90	144	1444
91	145	1431
92	145	1419
93	145	1407
94	146	1395
95	146	1383
96	147	1372
97	147	1360
98	148	1349
99	148	1338
100	149	1327
101	149	1316
102	149	1306
103	150	1295
104	150	1285
105	151	1275
106	151	1265
107	152	1255
108	152	1246
109	152	1236
110	153	1227
111	153	1217
112	154	1208
113	154	1199
114	154	1190
115	155	1181
116	155	1172
117	155	1163
118	156	1155
119	156	1146
120	156	1138
121	157	1130
122	157	1122
123	157	1114
124	158	1106
125	158	1098
126	158	1089
127	158	1082
128	159	1074
129	159	1067
130	159	1059
131	160	1052
132	160	1045
133	160	1038
134	160	1031
135	161	1024
136	161	1017
137	161	1010
138	162	1003
139	162	997
140	162	990
141	162	983
142	163	977
143	163	970
144	163	964
145	163	959
146	164	952
147	164	946
148	164	940
149	164	934
150	165	928
151	165	923
152	165	917
153	165	911
154	166	906
155	166	900
156	166	895
157	166	889
158	167	884
159	167	879
160	167	873
161	167	868
162	168	863
163	168	858
164	168	853
165	168	848
166	169	843
167	169	838
168	169	833
169	169	829
170	170	824
171	170	820
172	170	815
173	170	811
174	171	807
175	171	802
176	171	798
177	172	795
178	172	791
179	172	787
180	173	782
181	173	778
182	173	774
183	173	770
184	174	766
185	174	762
186	174	758
187	174	754
188	175	751
189	175	747
190	175	743
191	175	739
192	176	736
193	176	732
194	176	728
195	176	725
196	177	721
197	177	718
198	177	714
199	177	711
200	178	708
201	178	704
202	178	701
203	178	697
204	179	694
205	179	691
206	179	688
207	179	684
208	180	681
209	180	678
210	180	675
211	180	672
212	181	669
213	181	666
214	181	663
215	181	660
216	182	657
217	182	654
218	182	651
219	182	648
220	183	645
221	183	642
222	183	639
223	183	637
224	184	634
225	184	632
226	185	629
227	185	627
228	185	624
229	185	621
230	185	619
231	186	616
232	186	613
233	186	611
234	186	608
235	187	606
236	187	603
237	187	600
238	187	598
239	188	595
240	188	593
241	188	590
242	189	588
243	189	586
244	189	584
245	189	581
246	189	579
247	190	576
248	190	574
249	190	572
250	190	569
251	191	568
252	191	566
253	192	564
254	192	562
255	192	560
256	193	558
257	193	556
258	193	553
259	193	551
260	194	549
261	194	547
262	194	545
263	194	543
264	195	541
265	195	539
266	195	536
267	195	534
268	196	532
269	196	530
270	196	528
271	196	527
272	197	525
273	197	523
274	197	521
275	198	519
276	198	518
277	198	516
278	198	514
279	199	512
280	199	510
281	199	508
282	200	506
283	200	504
284	200	503
285	200	501
286	201	500
287	201	498
288	201	496
289	202	494
290	202	493
291	202	491
292	202	489
293	203	487
294	203	486
295	203	484
296	203	482
297	204	480
298	204	479
299	204	477
300	204	475
301	205	474
302	205	472
303	205	470
304	205	468
305	206	467
306	206	465
307	206	463
308	206	462
309	206	460
310	207	459
311	207	457
312	207	455
313	207	454
314	208	452
315	208	451
316	208	449
317	208	448
318	209	446
319	209	444
320	209	443
321	210	442
322	210	440
323	210	439
324	210	438
325	211	436
326	211	435
327	211	434
328	212	432
329	212	431
330	212	430
331	213	428
332	213	427
333	213	426
334	214	424
335	214	423
336	214	422
337	214	421
338	215	419
339	215	418
340	215	416
341	216	416
342	216	415
343	216	413
344	217	412
345	217	411
346	217	410
347	218	408
348	218	407
349	218	406
350	219	405
351	219	404
352	219	403
353	220	401
354	220	401
355	221	399
356	221	399
357	221	397
358	222	397
359	222	396
360	223	394
361	223	393
362	223	392
363	224	391
364	224	390
365	224	389
366	225	388
367	225	387
368	226	386
369	226	385
370	226	384
371	227	383
372	227	382
373	227	381
374	228	380
375	228	379
376	228	378
377	229	377
378	229	375
379	229	374
380	229	373
381	230	372
382	230	371
383	230	370
384	230	368
385	231	367
386	231	366
387	232	365
388	232	364
389	232	363
390	232	362
391	233	361
392	233	360
393	233	359
394	234	358
395	234	357
396	234	356
397	234	355
398	235	354
399	235	353
400	235	352
401	236	351
402	236	350
403	236	348
404	236	347
405	236	346
406	237	345
407	237	344
408	237	343
409	237	342
410	238	341
411	238	340
412	238	339
413	238	337
414	238	336
415	239	335
416	239	334
417	239	333
418	239	332
419	240	331
420	240	330
421	240	329
422	240	328
423	241	327
424	241	326
425	241	325
426	241	324
427	241	323
428	242	322
429	242	321
430	242	320
431	242	319
432	243	318
433	243	317
434	243	316
435	243	315
436	244	314
437	244	313
438	244	312
439	244	311
440	245	310
441	245	309
442	245	308
443	245	307
444	245	306
445	246	305
446	246	304
447	246	304
448	246	303
449	247	302
450	247	301
451	247	300
452	247	299
453	248	298
454	248	297
455	248	296
456	248	295
457	249	294
458	249	293
459	249	293
460	249	292
461	250	291
462	250	290
463	250	289
464	250	288
465	250	287
466	251	286
467	251	285
468	251	284
469	251	284
470	252	283
471	252	282
472	252	281
473	252	280
474	253	279
475	253	278
476	253	277
477	253	277
478	253	276
479	254	275
480	254	274
481	254	273
482	255	273
483	255	272
484	255	271
485	255	270
486	256	269
487	256	269
488	256	268
489	256	267
490	257	266
491	257	265
